Legajo;Código Materia;Parcial 1;Parcial 2;Final
846885591;31784;5;10;6
846885591;11163;8;4;3
846885591;91218;8;3;Debe recuperatorio
356082115;91218;1;3;Recursa
356082115;553123;5;3;Debe recuperatorio
356082115;31283;3;9;Debe recuperatorio
214217020;553123;10;2;Debe recuperatorio
214217020;3180;4;5;4
214217020;31784;10;9;Promocion
214217020;31283;6;6;4
390888732;31784;10;1;Debe recuperatorio
390888732;11163;9;10;Promocion
390888732;31283;10;1;Debe recuperatorio
390888732;91218;1;8;Debe recuperatorio
554048772;553123;8;1;Debe recuperatorio
554048772;31283;1;1;Recursa
554048772;91218;7;3;Debe recuperatorio
157004875;11163;6;2;Debe recuperatorio
157004875;3180;9;1;Debe recuperatorio
157004875;31283;9;10;Promocion
341403145;3180;6;7;4
341403145;91218;4;3;Debe recuperatorio
383845824;31283;4;10;10
383845824;91218;9;9;Promocion
508429473;31283;3;5;Debe recuperatorio
508429473;91218;7;10;2
508429473;31784;2;10;Debe recuperatorio
508429473;3180;3;1;Recursa
508429473;553123;8;10;Promocion
480875604;31784;8;3;Debe recuperatorio
480875604;91218;6;2;Debe recuperatorio
480875604;11163;6;8;9
480875604;3180;10;1;Debe recuperatorio
480875604;31283;9;1;Debe recuperatorio
227312127;31283;9;5;5
227312127;553123;4;5;4
624598406;3180;4;6;3
624598406;31283;1;3;Recursa
624598406;553123;6;7;4
624598406;11163;4;2;Debe recuperatorio
721213945;91218;4;4;8
721213945;31283;7;2;Debe recuperatorio
721213945;11163;8;4;7
721213945;553123;10;8;Promocion
721213945;31784;8;7;10
947069102;553123;8;8;Promocion
654235710;553123;9;4;8
654235710;11163;3;7;Debe recuperatorio
654235710;91218;4;5;7
870107737;31283;5;8;9
870107737;3180;8;8;Promocion
870107737;91218;10;10;Promocion
870107737;553123;8;8;Promocion
870107737;11163;8;8;Promocion
